"","V1","V2"
"result.376",2001,0
"result.377",2001,0
"result.378",2001,0
"result.379",2001,0
"result.380",2001,0
"result.381",2001,0
"result.382",2001,0
"result.383",2001,0
"result.384",2001,0
"result.385",2001,0
"result.386",2001,0
"result.387",2001,0
"result.388",2001,0
"result.389",2001,0
"result.390",2001,0
"result.391",2001,0
"result.392",2001,0
"result.393",2001,0
"result.394",2001,0
"result.395",2001,0
"result.396",2001,0
"result.397",2001,0
"result.398",2001,0
"result.399",2001,0
"result.400",2001,0
"result.401",2001,0
"result.402",2001,0
"result.403",2001,0
"result.404",2001,0
"result.405",2001,0
"result.406",2001,0
"result.407",2001,0
"result.408",2001,0
"result.409",2001,0
"result.410",2001,0
"result.411",2001,0
"result.412",2001,0
"result.413",2001,0
"result.414",2001,0
"result.415",2001,0
"result.416",996,0.474567183223318
"result.417",2001,0
"result.418",2001,0
"result.419",2001,0
"result.420",2001,0
"result.421",2001,0
"result.422",2001,0
"result.423",2001,0
"result.424",2001,0
"result.425",2001,0
"result.426",2001,0
"result.427",2001,0
"result.428",2001,0
"result.429",2001,0
"result.430",2001,0
"result.431",2001,0
"result.432",2001,0
"result.433",2001,0
"result.434",2001,0
"result.435",2001,0
"result.436",2001,0
"result.437",2001,0
"result.438",2001,0
"result.439",2001,0
"result.440",2001,0
"result.441",2001,0
"result.442",2001,0
"result.443",2001,0
"result.444",2001,0
"result.445",2001,0
"result.446",991,0.421265251770555
"result.447",2001,0
"result.448",2001,0
"result.449",2001,0
"result.450",2001,0
"result.451",2001,0
"result.452",2001,0
"result.453",2001,0
"result.454",2001,0
"result.455",1013,0.4991364760716
"result.456",2001,0
"result.457",2001,0
"result.458",2001,0
"result.459",2001,0
"result.460",2001,0
"result.461",2001,0
"result.462",2001,0
"result.463",2001,0
"result.464",2001,0
"result.465",2001,0
"result.466",2001,0
"result.467",2001,0
"result.468",2001,0
"result.469",2001,0
"result.470",2001,0
"result.471",2001,0
"result.472",2001,0
"result.473",2001,0
"result.474",2001,0
"result.475",2001,0
"result.476",2001,0
"result.477",2001,0
"result.478",2001,0
"result.479",2001,0
"result.480",2001,0
"result.481",2001,0
"result.482",2001,0
"result.483",2001,0
"result.484",2001,0
